Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00011636	94	164	87	91	59	38	134	88	67	54	62
DNOV00011637	37	32	15	50	18	12	36	29	18	26	17
DNOV00011638	168	185	114	218	66	28	180	108	95	60	81
DNOV00011639	10831	15460	7174	6317	9475	5414	19891	13210	9924	7873	10672
DNOV00011640	3310	4498	2167	1846	2890	1753	5422	3683	2878	1933	2927
DNOV00011641	112	129	81	15	10	5	76	30	40	30	36
DNOV00011642	2597	2592	1890	1546	1628	1346	3477	2093	1817	1518	1792
DNOV00011643	842	1029	648	675	755	424	1158	795	604	536	733
DNOV00011644	536	152	394	684	219	512	1314	352	723	616	554
DNOV00011645	3214	4556	2459	1971	2732	1670	5020	3311	2554	2167	2861
DNOV00011646	51	101	31	39	34	18	70	54	29	28	32
DNOV00011647	1317	2046	943	641	1165	655	2339	1570	1184	1236	1570
DNOV00011648	2383	3053	1631	1689	1988	1439	3399	2278	1711	1498	1810
DNOV00011649	2670	3424	2408	1792	2274	1837	4473	2911	2898	1541	2059
DNOV00011650	298	305	254	78	91	79	577	370	260	198	252
DNOV00011651	462	678	338	262	401	291	929	601	439	344	451
DNOV00011652	20	29	23	39	16	33	35	5	22	14	11
DNOV00011653	3652	5393	2570	2463	3217	2208	5739	3898	3029	2340	2986
DNOV00011654	50	71	66	44	8	3	49	25	22	12	9
DNOV00011655	42	95	47	62	30	14	61	49	40	13	41
DNOV00015212	396	614	264	279	430	233	591	445	310	253	285
DNOV00015213	32	91	1	7	30	1	22	49	8	16	13
DNOV00015214	6	6	1	4	1	1	5	1	5	1	1
DNOV00015215	1	1	1	3	0	0	1	3	3	0	3
DNOV00015216	31	56	27	28	61	28	133	79	65	46	74
DNOV00015217	4122	3001	4015	2601	2798	3166	7566	4340	5039	1993	2005
DNOV00015218	72	65	63	61	76	97	172	90	104	40	28
DNOV00015219	2964	4222	1995	1512	2521	1326	4407	3620	2450	1549	2008
DNOV00015220	13274	6265	12804	10755	4550	8150	16506	6376	11227	5636	4030
DNOV00015221	1323	1536	1127	1127	1145	992	2552	1818	1652	1481	2174
DNOV00015222	2	5	1	3	3	0	4	6	2	0	6
DNOV00015223	0	5	1	1	11	0	6	24	3	3	12
DNOV00015224	1	3	5	0	1	0	2	2	1	1	1
DNOV00015225	955	1136	703	660	800	543	1666	1199	975	708	1006
DNOV00015226	14	8	4	3	8	4	15	23	6	2	9
DNOV00015227	29	63	23	49	19	5	71	27	39	45	35
DNOV00015913	774	1402	683	257	715	453	811	912	514	193	437
DNOV00015914	56	96	53	37	56	52	92	63	57	40	42
DNOV00015915	342	485	211	185	224	143	463	320	198	209	250
DNOV00015916	22	37	8	12	20	14	23	20	10	8	11
DNOV00015917	129	161	106	84	93	56	113	95	56	86	55
DNOV00015918	1087	1646	795	726	974	528	1597	958	837	644	976
DNOV00015919	488	525	366	282	285	260	602	396	303	242	324
DNOV00015920	573	648	318	319	309	233	773	431	329	233	323
DNOV00015921	1227	1418	995	929	1050	748	1406	804	754	596	703
DNOV00015922	17	36	15	24	18	15	54	27	23	21	31
DNOV00015923	340	458	233	223	269	197	453	313	238	160	225
DNOV00015924	158	381	147	101	166	122	407	302	213	178	242
DNOV00015925	510	740	369	307	414	257	892	637	502	406	564
DNOV00015926	1000	1266	757	790	876	644	1384	1051	799	640	1023
DNOV00015927	0	0	0	0	0	0	0	0	0	0	0
DNOV00015928	89	106	48	62	51	34	101	62	53	32	54
DNOV00015597	1384	936	701	1216	890	1073	3684	1163	1802	1918	938
DNOV00015598	1512	2003	1056	944	1717	1160	2576	1911	1745	916	1528
DNOV00015599	51	52	51	26	48	34	119	54	63	55	59
DNOV00015600	739	895	546	485	610	456	935	602	551	394	576
DNOV00015601	823	1109	576	545	662	499	1316	783	604	518	589
DNOV00015602	1970	2584	1375	1251	1649	1022	3105	1859	1394	1188	1637
DNOV00015603	116	38	46	16	4	5	112	13	5	12	4
DNOV00015604	0	0	1	0	0	0	0	0	0	0	0
DNOV00015605	51	22	20	15	11	8	40	22	18	14	12
DNOV00015606	0	0	0	0	0	0	0	0	0	0	0
DNOV00015607	8	19	6	4	13	6	12	13	5	5	3
DNOV00015608	2263	2298	1912	1357	1595	1334	3415	2056	2174	1123	1407
DNOV00015609	3736	5334	2321	2119	3149	1938	4874	3304	2533	2067	2693
DNOV00015610	153	139	129	87	117	84	217	157	132	101	101
DNOV00015262	4	2	3	3	3	1	2	5	4	1	4
DNOV00015263	345	434	271	200	288	168	466	285	267	158	190
DNOV00015264	1064	963	652	437	765	387	1099	913	575	354	560
DNOV00015265	144	125	105	35	57	37	102	57	71	28	42
DNOV00015266	2	2	3	0	0	2	5	1	3	0	0
DNOV00015267	15	2	4	10	5	5	12	4	2	13	2
DNOV00015268	2876	2533	1780	1691	1739	1491	3666	1967	1833	1198	1372
DNOV00015269	12	11	10	12	13	8	14	5	6	9	6
DNOV00015270	0	0	0	0	0	0	0	0	0	0	0
DNOV00015271	1	6	4	4	2	1	7	9	2	1	2
DNOV00015272	296	358	145	156	179	112	299	199	131	116	138
DNOV00015273	0	0	0	0	0	0	0	0	0	0	0
DNOV00015274	608	989	444	387	566	382	898	605	515	370	507
DNOV00015275	119	158	93	71	71	55	179	132	119	73	83
DNOV00015276	6	3	5	4	1	2	3	2	1	2	0
DNOV00015277	1638	1582	1491	1195	979	1057	2772	1107	1184	1192	920
DNOV00015278	1319	1796	926	709	1001	714	1845	1034	943	745	1014
DNOV00015279	2866	4249	1811	1606	2580	1318	4513	3176	2361	1642	2333
DNOV00015280	1544	2334	922	990	1597	861	2876	2134	1398	1134	1584
DNOV00012087	8	23	13	7	13	3	17	10	7	2	12
DNOV00012088	31	30	18	11	20	10	55	19	20	13	30
DNOV00012089	385	334	318	136	349	198	536	201	224	88	295
DNOV00012090	5953	8119	4488	2824	4760	2836	10979	7236	5599	3681	5028
DNOV00012091	185	187	122	114	138	106	253	168	136	122	144
DNOV00012092	197	314	135	117	108	47	203	195	110	61	117
DNOV00012093	5042	5391	4232	2907	3431	2493	7246	4838	3959	2766	3677
DNOV00012094	615	2490	338	236	1059	382	671	1630	499	210	951
DNOV00012095	12	13	4	8	4	0	12	4	3	2	5
DNOV00012096	1	9	1	6	2	0	2	4	2	2	3
DNOV00012097	12	36	6	3	12	11	5	17	4	1	14
DNOV00012098	6	27	1	1	2	3	4	9	1	0	9
DNOV00012099	3	9	1	2	3	0	1	7	1	0	3
DNOV00012100	513	680	330	228	405	200	526	450	300	184	357
DNOV00012101	2110	1520	1977	1594	1153	1264	3308	2293	2190	1299	1590
DNOV00012102	87	354	45	95	166	74	97	179	64	48	118
DNOV00012103	1831	2200	1465	1449	1539	1178	4826	2852	2818	1910	2309
DNOV00012104	3	7	4	2	11	2	14	12	9	0	5
DNOV00012105	0	2	1	1	1	0	2	2	2	0	1
DNOV00012106	119	208	121	98	140	141	139	144	96	71	112
DNOV00012107	0	0	1	0	0	0	0	0	0	0	0
DNOV00012108	1111	1354	803	697	592	476	1451	916	793	598	646
DNOV00012109	1825	3943	1520	1132	1843	1009	2975	2719	1870	1198	1833
DNOV00012110	3	1	1	0	1	0	0	0	0	0	1
DNOV00012111	2926	4113	1964	1863	2667	1580	6320	4276	3252	2637	3645
DNOV00012112	2822	3404	2283	1747	2164	1549	4655	2987	2557	1896	2365
DNOV00012113	255	329	246	196	109	109	519	245	241	226	156
DNOV00012114	689	996	503	427	646	400	1342	922	598	626	812
DNOV00012115	1715	2447	1241	984	1284	882	2524	1644	1266	986	1259
DNOV00012116	556	824	524	443	450	391	879	603	579	370	750
DNOV00012117	1644	2152	1171	969	1340	894	2394	1648	1322	966	1283
DNOV00012118	750	762	590	447	451	381	1241	775	669	479	678
DNOV00017249	46	95	34	25	34	20	168	161	76	27	99
DNOV00017250	708	1069	492	463	675	466	1896	1254	913	365	419
DNOV00017251	70	61	61	72	37	58	430	151	219	76	34
DNOV00017252	6	3	3	6	2	0	13	5	10	1	2
DNOV00017253	11	17	14	5	14	6	41	10	16	10	1
DNOV00017254	0	0	0	0	0	0	0	0	0	0	0
DNOV00017255	2	0	0	1	0	0	2	1	1	1	0
DNOV00017256	0	0	0	6	0	0	5	0	0	0	2
DNOV00017257	3	8	9	9	11	3	19	31	19	3	5
DNOV00012055	0	0	0	0	0	0	0	0	0	1	0
DNOV00012056	1	0	0	0	0	0	0	0	0	0	1
DNOV00012057	0	0	1	0	0	0	0	0	1	0	0
DNOV00012058	18743	25055	13421	10561	13846	9430	31766	21281	15831	12406	15627
DNOV00012059	884	1515	499	556	861	414	1668	1459	874	759	1177
DNOV00012060	4484	7864	2518	2725	5166	2302	8067	6853	3837	3275	5463
DNOV00012061	696	944	478	412	483	299	1149	773	525	443	502
DNOV00012062	35	71	27	32	32	10	53	39	27	33	24
DNOV00012063	47382	57797	29999	29736	38422	23859	72952	48158	34437	31458	36392
DNOV00012064	12	6	8	9	9	2	16	7	5	11	1
DNOV00012065	4	0	1	0	1	1	2	2	0	0	0
DNOV00012066	6228	7676	4600	3922	5209	3523	10694	6625	5206	4766	5086
DNOV00012067	2016	2466	1454	1192	1395	970	3050	1813	1485	1252	1376
DNOV00012068	62	47	68	49	69	42	115	67	56	53	56
DNOV00012069	70	27	33	32	9	21	68	28	22	28	29
DNOV00012070	1	0	3	1	1	2	6	5	0	1	0
DNOV00012071	1	0	0	0	1	0	0	0	0	0	0
DNOV00012072	2617	3562	1841	1583	2148	1497	4094	2971	2101	1658	2078
DNOV00012073	620	858	412	344	500	255	1166	787	565	426	652
DNOV00012074	770	995	525	563	590	405	1160	823	630	521	692
DNOV00012075	48	61	41	36	42	34	126	76	72	67	70
DNOV00012076	1565	1860	1199	1078	1159	843	1938	1133	1038	629	874
DNOV00012077	19	6	27	3	4	17	33	8	34	2	8
DNOV00012078	2	3	2	0	1	1	0	4	2	0	2
DNOV00012079	1452	1627	1089	868	1125	837	1887	1141	1043	718	905
DNOV00012080	0	0	0	0	0	0	0	0	0	0	0
DNOV00012081	1	2	4	0	6	1	3	0	2	0	2
DNOV00012082	3	3	0	1	0	0	0	0	1	0	1
DNOV00012083	9	20	0	0	2	0	6	2	1	0	0
DNOV00012084	400	705	296	220	436	232	584	373	292	226	312
DNOV00012085	227	2189	0	6	423	0	22	538	2	0	83
DNOV00012086	156	175	97	54	120	67	231	152	90	69	144
DNOV00014593	10	7	6	16	2	8	32	10	9	13	10
DNOV00014594	28735	37195	21243	17909	22189	15703	52325	34174	27388	21249	27886
DNOV00014595	1335	1179	892	673	796	732	1911	1089	982	806	1010
DNOV00014596	6	2	6	0	0	1	7	4	2	4	6
DNOV00014597	0	0	0	0	0	0	0	0	0	0	0
DNOV00014598	121	89	111	58	58	55	66	91	71	65	99
DNOV00014599	740	980	651	465	614	526	1590	921	785	567	670
DNOV00014600	1261	1286	1302	905	1022	977	2566	1286	1590	1042	1022
DNOV00014601	0	2	1	1	1	2	0	1	1	1	1
DNOV00014602	62	24	51	91	28	35	113	40	55	26	31
DNOV00014603	1	1	0	8	3	3	18	5	10	0	4
DNOV00014604	75	113	45	43	52	45	125	105	73	56	74
DNOV00014605	1066	1476	740	626	845	546	1790	1021	897	639	866
DNOV00014606	323	269	198	161	224	238	814	344	447	270	588
DNOV00014607	323	1129	174	80	851	111	387	880	271	91	666
DNOV00014608	561	1175	367	245	510	197	1132	1041	529	328	619
DNOV00014609	1	1	2	0	0	0	1	0	0	0	0
DNOV00014610	1	0	0	0	0	0	0	2	0	0	0
DNOV00014611	2001	3569	1241	945	2001	956	3152	2566	1496	1061	1994
DNOV00014612	1	2	3	1	0	0	4	2	1	0	4
DNOV00014613	5	5	1	6	8	7	10	4	6	4	3
DNOV00003851	19	77	0	9	68	4	9	85	20	3	61
DNOV00003852	1	0	0	0	2	0	1	1	0	0	0
DNOV00003853	4877	6283	3390	2652	3452	2120	6130	3845	2998	2326	2700
DNOV00003854	1763	2541	1220	982	1592	1057	3347	2588	1755	1455	2322
DNOV00003855	81	139	106	50	103	88	148	135	136	41	73
DNOV00003856	7	7	0	2	1	0	11	2	3	2	4
DNOV00003857	3	13	5	2	9	7	6	4	5	5	6
DNOV00003858	795	887	580	426	564	458	893	559	485	371	444
DNOV00003859	335	276	349	215	239	268	777	553	453	265	327
DNOV00003860	5816	5861	2812	3874	4137	2108	7716	12736	2620	3889	9185
DNOV00003861	4	1	2	5	1	4	4	3	2	0	2
DNOV00003862	76	89	35	50	40	47	109	129	81	50	76
DNOV00003863	367	228	280	458	217	246	724	316	352	351	304
DNOV00003864	6	2	4	1	0	2	0	0	0	0	0
DNOV00003865	0	0	0	2	0	0	0	0	0	0	0
DNOV00003866	1619	2798	552	729	2122	496	2126	2114	983	748	2679
DNOV00003867	10	29	10	11	16	9	17	20	7	10	24
DNOV00003868	53	144	36	16	90	16	58	118	35	26	109
DNOV00003869	0	6	0	0	0	0	0	0	0	0	0
DNOV00003870	1	0	0	0	0	0	0	0	0	0	0
DNOV00003871	0	0	0	0	0	0	0	0	1	0	1
DNOV00003872	22	45	4	5	16	2	40	23	1	9	14
DNOV00003873	24	59	3	3	17	0	22	8	1	6	5
DNOV00003874	277	359	182	197	231	183	503	244	248	206	268
DNOV00003875	3	6	5	5	4	1	0	0	5	0	3
DNOV00003876	678	515	570	488	373	363	754	404	530	365	547
DNOV00003877	77	82	68	41	51	47	94	54	64	49	69
DNOV00003878	1195	1371	885	700	875	702	1522	971	846	607	754
DNOV00003879	5408	7205	3524	2705	4155	2612	7684	4984	3907	2856	4045
DNOV00003880	7	4	4	6	0	3	17	2	4	1	3
DNOV00003881	1290	1830	982	795	930	751	1576	808	938	557	796
DNOV00003882	29	48	19	19	27	10	24	9	12	6	75
DNOV00003883	20	2	24	3	7	4	13	5	7	6	14
DNOV00003884	372	508	384	316	229	281	519	366	316	188	268
DNOV00003885	1291	1439	910	780	969	775	1883	1079	969	772	881
DNOV00003886	196	191	170	171	125	134	388	223	239	172	202
DNOV00003887	29	30	20	20	17	17	55	24	26	19	24
DNOV00003888	52	100	9	20	92	14	35	55	19	21	56
DNOV00003889	29	64	8	9	64	3	19	65	8	8	20
DNOV00003890	712	1979	497	431	1137	312	908	1351	511	317	656
DNOV00003891	0	3	1	0	1	0	0	0	1	1	1
DNOV00003892	5	4	9	3	1	2	8	7	4	1	3
DNOV00003893	562	921	494	331	562	303	1162	802	580	411	575
DNOV00003894	3	1	2	2	0	0	5	0	1	3	1
DNOV00003895	0	0	0	0	0	0	0	0	0	0	0
DNOV00003896	125	42	76	85	55	83	206	53	117	89	69
DNOV00003897	315	327	200	167	209	173	456	240	273	178	196
DNOV00003898	15	9	8	11	4	8	24	8	10	17	16
DNOV00003899	0	0	0	0	0	0	0	0	0	0	0
DNOV00003900	957	1363	564	449	838	434	1160	921	593	356	554
DNOV00003901	26	33	19	5	13	5	12	15	6	6	6
DNOV00003902	11	13	5	4	6	1	10	5	5	2	1
DNOV00003903	10	9	2	5	5	6	14	5	3	1	5
DNOV00003904	34	46	10	4	19	7	29	17	14	6	7
DNOV00003905	107	144	25	31	74	24	69	80	36	21	28
DNOV00003906	10	16	1	0	7	1	13	6	5	2	0
DNOV00003907	1	4	1	1	3	1	2	2	1	1	0
DNOV00003908	0	0	0	0	0	0	0	0	0	0	0
DNOV00003909	6	0	0	0	0	0	2	0	1	0	0
DNOV00003910	3151	4384	1953	1832	2416	1594	6004	3464	2732	2303	2629
DNOV00003911	0	0	0	0	0	1	0	0	0	0	0
DNOV00003912	211	336	90	88	209	57	155	223	63	70	187
DNOV00003913	2	2	1	1	1	1	1	0	0	0	2
DNOV00003914	0	2	0	0	0	0	0	0	0	0	0
DNOV00003915	11	15	1	8	4	6	23	8	6	3	7
DNOV00003916	6	2	2	7	1	2	14	0	2	7	16
DNOV00003917	672	840	521	486	457	334	758	409	334	318	342
DNOV00003918	16	24	13	5	14	13	40	25	29	16	17
DNOV00003919	818	1158	556	361	805	416	1596	1236	750	672	927
DNOV00003920	1438	1770	996	818	1081	696	2164	1259	1173	781	1044
DNOV00003921	2874	2749	2229	2331	2516	2128	5386	3198	2899	2200	2716
DNOV00003922	2	0	6	9	0	0	11	0	5	10	5
DNOV00003923	0	1	0	0	0	0	1	0	0	0	0
DNOV00003924	382	344	246	255	300	195	646	464	275	231	276
DNOV00003925	547	758	387	356	515	322	855	641	448	372	538
DNOV00003926	1056	1470	724	570	926	511	1720	1202	850	682	1102
DNOV00003927	106	272	107	84	234	121	284	309	208	132	243
DNOV00003928	0	0	0	0	3	0	0	2	3	0	2
DNOV00003929	688	1310	523	450	903	393	1067	902	569	458	645
DNOV00003930	386	423	337	259	308	237	708	386	388	327	347
DNOV00003931	61	63	42	41	31	39	108	71	63	38	35
DNOV00003932	262	283	214	313	239	265	362	180	237	187	130
DNOV00003933	769	831	541	421	480	471	1161	771	717	524	461
DNOV00003934	0	0	0	0	0	0	0	0	0	0	0
DNOV00003935	332	152	256	385	113	214	572	64	119	273	19
DNOV00003936	3	3	2	4	0	3	2	1	2	1	0
DNOV00003937	4	10	5	3	7	0	10	7	2	5	4
DNOV00003938	1419	1908	965	843	1108	766	1888	1143	942	753	768
DNOV00003939	380	572	251	220	276	171	499	336	239	228	222
DNOV00003940	35	42	20	12	24	18	68	28	25	22	11
DNOV00003941	471	446	345	314	298	279	598	436	366	266	327
DNOV00003942	6	20	6	6	3	4	12	5	5	3	4
DNOV00003943	3	1	4	2	3	0	11	4	2	4	5
DNOV00003944	22	28	21	23	16	10	28	17	22	14	4
DNOV00003945	31	30	21	29	20	25	53	30	26	24	13
DNOV00003946	28	14	11	4	17	7	16	7	7	6	4
DNOV00003947	10	3	7	2	2	1	8	2	3	4	1
DNOV00003948	0	0	0	0	0	0	0	0	0	0	0
DNOV00003949	0	0	0	0	0	0	0	0	0	0	0
DNOV00003950	0	0	0	0	0	0	0	0	0	0	0
DNOV00003951	32	15	11	7	6	1	13	3	10	5	2
DNOV00003952	0	0	0	0	0	0	0	0	0	0	0
DNOV00003953	674	487	568	591	323	403	1162	487	668	464	521
DNOV00003954	806	136	555	670	100	233	1040	97	390	213	63
DNOV00003955	15	60	18	12	9	5	23	13	10	3	21
DNOV00003956	4317	5192	3178	2413	2805	2020	5895	3508	2765	2062	2585
DNOV00003957	1569	2692	904	1161	1860	973	2442	1871	1203	1093	1495
DNOV00003958	512	840	349	298	463	273	1026	692	526	374	548
DNOV00003959	0	0	0	0	0	0	0	0	0	0	0
DNOV00003960	4634	4576	2963	2997	2563	2848	7590	2955	3723	3130	2044
DNOV00003961	300	308	216	197	198	215	364	223	202	137	153
DNOV00008579	16	37	27	6	3	16	34	9	13	10	11
DNOV00008580	406	309	315	261	225	216	509	243	295	206	205
DNOV00008581	516	651	332	302	500	283	933	585	515	491	557
DNOV00008582	105	61	34	47	40	40	131	55	48	53	43
DNOV00008583	6	0	0	2	0	0	4	0	4	1	0
DNOV00008584	2	76	0	1	17	0	1	3	0	0	4
DNOV00008585	16	1	6	7	1	0	14	3	1	0	0
DNOV00008586	69	32	69	23	16	25	81	19	24	16	26
DNOV00008587	48	34	29	20	28	25	45	30	16	16	26
DNOV00008588	30	41	23	17	10	19	59	27	14	17	10
DNOV00008589	1232	1386	931	964	873	825	1766	829	944	752	597
DNOV00008590	2	2	4	3	1	2	7	1	2	0	4
DNOV00008591	260	315	290	210	234	187	487	235	231	240	257
DNOV00008592	0	0	0	0	0	0	0	0	0	0	0
DNOV00008593	262	413	235	162	269	160	577	334	296	222	339
DNOV00008594	3402	1271	2944	2604	1021	1704	4204	1304	2039	1891	1778
DNOV00008595	0	0	0	0	0	0	0	0	0	0	0
DNOV00008596	6	2	1	3	0	3	4	0	3	1	1
DNOV00008597	0	1	0	0	0	1	0	1	0	0	0
DNOV00008598	31	4	18	21	4	9	26	10	13	24	5
DNOV00008599	140	92	129	99	35	107	201	32	103	73	31
DNOV00008600	57	60	74	33	21	28	68	26	55	21	29
DNOV00008601	5115	6528	4706	2857	2860	3045	6972	3414	4119	2885	2658
DNOV00008602	1937	2419	1576	1304	1690	1196	2026	1083	1096	713	794
DNOV00008603	53	59	26	22	29	19	53	36	43	29	16
DNOV00008604	1412	1567	1266	920	997	900	2632	1460	1668	1098	1216
DNOV00008605	1	1	1	0	2	0	1	1	0	0	0
DNOV00008606	1265	1715	895	863	923	553	2191	1339	1036	802	1060
DNOV00008607	200	317	150	139	202	117	411	238	198	175	196
DNOV00008608	1315	1809	902	948	1103	774	1747	932	833	745	862
DNOV00008609	1452	1847	913	940	1293	814	2211	1471	1033	903	1108
DNOV00008610	690	864	451	384	616	317	971	748	498	370	624
DNOV00008611	297	158	95	180	128	123	233	84	75	104	48
DNOV00008612	1021	1269	780	685	845	682	1965	973	952	892	1012
DNOV00008613	503	608	431	366	323	322	825	392	421	270	296
DNOV00008614	592	557	419	516	504	555	1798	768	1083	843	861
DNOV00008615	1521	1700	1054	1273	1167	1069	3127	1591	1705	1311	1605
DNOV00008616	1160	1323	898	659	846	565	1633	1203	977	646	933
DNOV00008617	638	756	482	386	476	349	1073	705	586	459	634
DNOV00008618	2310	1289	1777	1813	1064	1308	3057	1580	1800	1454	1414
DNOV00008619	3	3	7	9	8	8	11	2	6	5	5
DNOV00008620	34	43	41	73	35	65	70	39	47	27	55
DNOV00008621	640	817	485	284	410	284	1033	608	473	424	568
DNOV00008622	78	105	53	65	82	66	162	123	106	63	85
DNOV00008623	84	5	60	26	5	21	35	1	25	2	2
DNOV00008624	45	30	30	34	20	20	45	23	18	14	15
DNOV00008625	13	14	8	21	9	12	33	6	10	16	6
DNOV00008626	19	10	8	8	5	2	11	2	4	6	6
DNOV00008627	20	15	6	4	0	5	6	4	2	6	2
DNOV00008628	0	2	0	0	0	0	1	0	0	0	0
DNOV00008629	1	5	1	0	0	0	1	1	0	0	1
DNOV00008630	5	15	5	3	5	6	16	7	4	6	7
DNOV00008631	12067	15829	9055	7341	10023	7198	16623	10091	10919	6545	6708
DNOV00018255	1	3	0	3	3	0	4	3	0	0	0
DNOV00018256	56	73	49	42	55	33	194	97	64	43	19
DNOV00018257	0	0	0	0	0	0	0	0	0	0	0
DNOV00018258	0	0	0	0	0	0	0	0	0	0	0
DNOV00015177	303	134	137	96	81	51	157	108	92	67	100
DNOV00015178	8	3	1	5	1	1	5	0	4	4	2
DNOV00015179	784	879	551	595	570	457	1295	834	702	562	737
DNOV00015180	231	207	159	164	123	88	368	181	193	140	120
DNOV00015181	28	25	8	32	18	9	39	18	14	8	6
DNOV00015182	70	54	41	58	83	40	219	152	150	117	249
DNOV00015183	2	2	2	0	3	1	2	0	4	7	4
DNOV00015287	359	398	252	211	244	181	615	372	273	281	334
DNOV00015288	2382	3606	1601	1535	2278	1256	3772	2854	2005	1683	2560
DNOV00015289	1	0	1	0	0	0	0	0	0	0	0
DNOV00015290	990	1325	664	575	721	486	1463	977	737	500	766
DNOV00015291	2754	3731	2084	1676	2487	1609	5000	3372	2755	2273	3027
DNOV00015292	2580	2461	2076	1917	1702	1439	3209	1695	1687	1331	1393
DNOV00015293	67	68	33	33	52	35	84	51	44	40	33
DNOV00015294	312	360	521	262	248	304	974	275	252	477	252
DNOV00015295	7	18	3	10	19	2	21	7	19	4	13
DNOV00015296	3616	4308	2481	2257	2716	2077	4007	2162	2141	1678	1970
DNOV00015297	2	2	1	1	1	0	5	2	2	0	0
DNOV00015298	2	0	0	3	0	0	6	0	1	0	0
DNOV00015299	135	117	138	110	75	89	263	103	145	134	98
DNOV00015300	5	11	5	1	3	1	7	3	2	0	12
DNOV00015301	15	20	9	12	14	8	33	30	12	10	29
DNOV00015302	51	93	48	41	60	39	96	77	55	41	44
DNOV00015303	91	130	69	62	82	71	180	93	90	100	107
DNOV00015304	2	4	2	3	8	6	19	3	13	9	1
DNOV00012746	3133	3720	2081	1712	2597	1534	4262	3366	2234	1684	2285
DNOV00012747	4474	7152	2830	2251	4153	2027	7962	5355	3686	4516	6618
DNOV00012748	1675	2008	1263	1208	1534	1089	2570	1499	1338	1239	1497
DNOV00012749	784	990	621	512	535	396	1505	862	716	748	847
DNOV00012750	1554	2167	1114	977	1470	886	2817	1855	1432	1149	1397
DNOV00012751	0	3	2	1	1	0	1	1	1	1	3
DNOV00012752	17	7	15	19	3	4	21	13	5	16	2
DNOV00012753	336	555	195	228	315	181	514	422	263	235	364
DNOV00012754	111	174	83	66	93	53	185	129	82	70	87
DNOV00012755	3	4	0	1	1	1	7	1	3	3	1
DNOV00012756	994	1360	726	512	716	513	1509	884	815	522	640
DNOV00012757	828	986	734	647	773	708	1887	1199	1285	820	1103
DNOV00012758	2118	3002	1490	1220	1535	1013	3320	2032	1634	1157	1549
DNOV00012759	1261	2319	823	775	853	433	1833	1371	785	663	948
DNOV00012760	2917	3963	2045	1610	2097	1152	3761	2550	1898	1360	1527
DNOV00012761	67	124	46	61	41	21	63	46	30	24	55
DNOV00012762	688	974	537	531	710	466	1189	956	661	435	557
DNOV00012763	292	415	223	216	179	118	369	312	194	140	168
DNOV00012764	1885	2530	1360	1179	1424	850	2812	2172	1354	1151	1455
DNOV00012765	12	13	5	4	7	3	10	13	5	5	3
DNOV00018035	43	63	46	42	96	26	88	120	34	27	78
DNOV00018036	3	29	0	0	95	0	1	205	2	0	150
DNOV00018037	0	0	0	0	1	0	0	0	0	0	0
DNOV00018038	212	129	177	105	70	80	283	96	103	106	90
DNOV00018039	0	0	0	0	0	0	2	0	0	0	0
DNOV00008192	2	2	2	5	2	2	7	1	4	1	3
DNOV00008193	1620	3162	1267	1286	1364	635	1906	1650	971	892	1328
DNOV00008194	634	824	451	322	413	259	1005	726	540	402	589
DNOV00008195	723	855	566	626	598	463	1481	842	708	572	630
DNOV00008196	1567	2072	1032	844	1267	850	2959	2002	1487	1210	1550
DNOV00008197	9	10	19	0	8	0	13	10	6	1	4
DNOV00008198	2796	4347	1884	2054	3450	2009	6355	4503	3193	2623	3844
DNOV00008199	9	11	2	10	7	2	16	17	7	7	14
DNOV00008200	3	2	0	0	1	0	3	2	2	2	0
DNOV00008201	7111	8910	5088	4607	4725	3027	11862	7011	5757	4344	5929
DNOV00008202	5478	6772	3727	3102	4246	2713	7718	5100	3970	3265	3976
DNOV00008203	1407	2266	999	944	876	473	2034	1353	942	714	958
DNOV00008204	250	146	218	301	145	172	204	353	109	119	1245
DNOV00008205	37	52	18	8	35	10	58	50	40	35	57
DNOV00008206	210	283	143	133	173	93	329	197	138	103	162
DNOV00008207	1483	1799	935	821	1187	676	2376	1699	1203	850	990
DNOV00008208	3406	4909	2401	1749	3023	1771	6128	3860	3099	2411	3117
DNOV00008209	351	358	337	269	243	274	646	359	356	235	262
DNOV00008210	15985	14143	15223	12049	12750	12906	25852	15033	16901	11673	11804
DNOV00008211	50	114	47	41	46	18	58	45	42	36	32
DNOV00008212	694	1063	541	413	740	396	1404	981	753	619	854
DNOV00008213	16202	23401	11159	8755	13988	8208	30682	21340	15945	12411	16982
DNOV00008214	1	3	0	2	1	0	3	1	2	0	0
DNOV00008215	509	563	353	295	290	230	649	372	323	237	277
DNOV00008216	1576	1843	1128	974	1102	806	2652	1719	1390	1045	1218
DNOV00008217	650	796	392	451	569	342	1005	694	579	397	593
DNOV00008218	397	707	379	390	270	148	623	397	361	232	355
DNOV00008219	2192	2878	1609	1408	1426	1027	3862	2311	1939	1755	2162
DNOV00008220	0	3	0	0	1	0	0	0	0	0	0
DNOV00008221	2	5	4	1	5	4	1	4	5	0	4
DNOV00008222	156	245	132	162	134	130	337	212	155	110	183
DNOV00008223	1	1	0	0	0	0	6	3	2	0	1
DNOV00008224	0	0	0	0	0	0	1	0	0	0	0
DNOV00008225	76	82	50	36	55	39	65	44	31	24	29
DNOV00008226	3119	4458	2276	1747	2933	1694	4442	3218	2442	1969	2690
